compound_name,smiles,cid,thalf_h,thalf_source,thalf_notes
Procaimide,CCN(CC)CCNC(=O)c1ccc(N)cc1,4913.0,3.5,PubChem,PubChem: HALF-LIFE IS 3-4 HR
Verapamil,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,2520.0,9.2,PubChem,PubChem: half-life (9.8 vs 9.2 hr
Didemnin B,CC[C@H](C)[C@H]1NC(=O)[C@@H](NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](C)O)[C@@H](C)OC(=O)[C@H](Cc2ccc(OC)cc2)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@@H](C)C(=O)[C@H](C(C)C)OC(=O)C[C@@H]1O,122651.0,,,
Vinorelbine,CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2,5311497.0,43.6,PubChem,PubChem: half-life averaged 27.7 to 43.6 hours
Cefclidin,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(C[N+]34CCC(C(=N)[O-])(CC3)CC4)CS[C@H]12)c1nsc(N)n1,6537446.0,,,
Astromicin,CO[C@H]1[C@@H](O)[C@H](N)[C@@H](O[C@H]2O[C@H]([C@H](C)N)CC[C@H]2N)[C@H](O)[C@H]1N(C)C(=O)CN,5284517.0,,,
Micafungin,CCCCCOc1ccc(-c2cc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@H](O)CC(N)=O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)c(OS(=O)(=O)O)c5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)no2)cc1,477468.0,,,
Nefopam,CN1CCOC(c2ccccc2)c2ccccc2C1,4450.0,72.0,PubChem,"PubChem: t 12, 24, 48, and 72 hours"
Ketamine,CNC1(c2ccccc2Cl)CCCCC1=O,3821.0,2.5,PubChem,PubChem: half-life of ketamine (beta phase) is 2.5 hours
Tiludronic Acid,O=P(O)(O)C(Sc1ccc(Cl)cc1)P(=O)(O)O,60937.0,150.0,PubChem,PubChem: half-life is 150 hours
Sotalol,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,5253.0,15.0,PubChem,PubChem: half life is 10-20 hours
MDAM,C=C(C[C@H](NC(=O)c1ccc(CCc2cnc3nc(N)nc(N)c3n2)cc1)C(=O)O)C(=O)O,9803852.0,,,
5-Fluorouracil,O=c1[nH]cc(F)c(=O)[nH]1,3385.0,,,
Amezinium,COc1cc(N)cn[n+]1-c1ccccc1,71927.0,,,
