compound_name,smiles,cid,thalf_h,thalf_source,thalf_notes,thalf_pred,CL_pred,Vd_pred,log10_obs,log10_pred,fold_error,abs_log_err,disposition,within_2fold,fold_error_ratio,within_2fold_clean,outlier
Diatrizoate,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,2140.0,80.0,PubChem,PubChem: halflife is reported to be 20-140 hours,1.41,1.5772,0.1925,1.9030899869919435,0.1492191126553798,0.017625,1.7538708743365636,multi_compartment,False,56.73758865248227,False,True
Phenobarbital,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,4763.0,118.0,PubChem,PubChem: Half Life: 53 to 118 hours,2.13,3.2043,0.5908,2.0718820073061255,0.3283796034387377,0.0180508474576271,1.7435024038673876,standard,False,55.399061032863855,False,True
Tiludronic Acid,O=P(O)(O)C(Sc1ccc(Cl)cc1)P(=O)(O)O,60937.0,150.0,PubChem,PubChem: half-life is 150 hours,3.253,1.8982,0.5346,2.1760912590556813,0.5122840632818536,0.0216866666666666,1.6638071957738276,standard,False,46.111281893636644,False,True
Zoledronic Acid,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O,68740.0,146.0,PubChem,PubChem: Half Life: 146 hours,5.432,1.9258,0.9057,2.164352855784437,0.7349597612724453,0.0372054794520547,1.4293930945119917,standard,False,26.877761413843885,False,True
Linagliptin,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,10096344.0,155.0,PubChem,PubChem: half life of linagliptin is 155 hours,5.986,3.626,1.8794,2.1903316981702914,0.7771367125041726,0.0386193548387096,1.413194985666119,standard,False,25.893752088205815,False,True
Pentobarbital,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,4737.0,50.0,PubChem,PubChem: Half Life: 5 to 50 hours,2.082,4.9237,0.8877,1.6989700043360187,0.3184807251745173,0.0416399999999999,1.3804892791615015,standard,False,24.015369836695488,False,True
Perampanel,N#Cc1ccccc1-c1cc(-c2ccccn2)cn(-c2ccccc2)c1=O,9924495.0,105.0,PubChem,PubChem: half-life of about 105 hours,4.505,1.9913,0.7767,2.0211892990699383,0.6536947953150818,0.0429047619047619,1.3674945037548565,standard,False,23.307436182019977,False,True
Tenofovir,C[C@H](Cn1cnc2c(N)ncnc21)OCP(=O)(O)O,464205.0,32.0,PubChem,PubChem: half-life of tenofovir is of 32 hours,1.46,3.5388,0.4472,1.505149978319906,0.1643528557844371,0.045625,1.340797122535469,standard,False,21.91780821917808,False,True
Treprostinil,CCCCC[C@H](O)CC[C@@H]1[C@H]2Cc3cccc(OCC(=O)O)c3C[C@H]2C[C@H]1O,6918140.0,10.0,PubChem,"PubChem: t 100%, and it reaches steady-state concentrations in approximately 10 hours",0.488,7.764,0.3279,1.0,-0.3115801779972894,0.0487999999999999,1.311580177997289,standard,False,20.491803278688526,False,True
Melatonin,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,896.0,0.1,PubChem,PubChem: half-life (0.67 +/- 0.12 vs. 0.79 +/- 0.10 hr,1.418,8.9261,1.0961,-1.0,0.1516762308470477,14.179999999999998,1.1516762308470476,standard,True,14.179999999999998,False,True
Cefadroxil,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,47965.0,12.0,FDA,FDA label: t 12 hours,0.97,2.9336,0.2463,1.0791812460476249,-0.0132282657337551,0.0808333333333333,1.09240951178138,standard,False,12.371134020618557,False,True
Aripiprazole,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,60795.0,110.5,PubChem,PubChem: Half Life: 75-146 hours,9.174,3.6524,2.901,2.04336227802113,0.9625587357959636,0.0830226244343891,1.0808035422251658,standard,False,12.044909526923917,False,True
Gilteritinib,CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1,49803313.0,102.0,PubChem,PubChem: half-life of gilteritinib was of approximate 45-159 hours,8.753,4.45,3.3723,2.0086001717619175,0.9421569284674904,0.085813725490196,1.066443243294427,standard,False,11.653147492288358,False,True
Nefopam,CN1CCOC(c2ccccc2)c2ccccc2C1,4450.0,72.0,PubChem,"PubChem: t 12, 24, 48, and 72 hours",6.2,10.0361,5.3871,1.8573324964312683,0.7923916894982539,0.0861111111111111,1.0649408069330146,standard,False,11.612903225806452,False,True
Clorazepic Acid,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,2809.0,24.0,PubChem,PubChem: HALF-LIFE IS ABOUT 24 HR,2.118,1.1281,0.2069,1.380211241711606,0.3259259557714661,0.08825,1.05428528594014,standard,False,11.3314447592068,False,True
Roflumilast,O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1,449193.0,30.0,FDA,FDA label: half-life of roflumilast and its N-oxide metabolite are approximately 17 and 30 hours,2.78,2.9435,0.7084,1.4771212547196624,0.4440447959180762,0.0926666666666666,1.0330764588015862,standard,False,10.79136690647482,False,True
Eptifibatide,N=C(N)NCCCC[C@@H]1NC(=O)CCSSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)C(Cc2c[nH]c3ccccc23)NC(=O)[C@H](CC(=O)O)NC(=O)CNC1=O,448812.0,0.17,PubChem,PubChem: half-life of 5 +/- 2.5 minutes and a mean terminal elimination half-life of 1.13 +/- 0.17 hours,1.573,1.9637,0.2675,-0.769551078621726,0.1967287226232868,9.252941176470587,0.9662798012450128,standard,True,9.252941176470587,False,True
Diazoxide,CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1,3019.0,24.0,PubChem,PubChem: half-life of diazoxide varies from 9.5 to 24 hours,2.623,2.2116,0.5023,1.380211241711606,0.4187982905903536,0.1092916666666666,0.9614129511212524,standard,False,9.149828440716735,False,True
Topiramate,CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1,5284627.0,23.0,PubChem,PubChem: Half Life: 19 to 23 hours,2.525,3.2605,0.7128,1.3617278360175928,0.4022613824546802,0.1097826086956521,0.9594664535629128,standard,False,9.10891089108911,False,True
Promazine,CN(C)CCCN1c2ccccc2Sc2ccccc21,4926.0,1.5,PubChem,PubChem: T 1-2 HR,12.071,12.9298,13.5128,0.1760912590556812,1.081743249922721,8.047333333333333,0.9056519908670398,standard,True,8.047333333333333,False,True
Ofloxacin,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,4583.0,38.5,PubChem,"PubChem: half-life, determined in the dialysis-free interval (t1/2 beta) and during the haemodialysis session (t1/2 HD), was 38.5",4.92,2.9637,1.2626,1.5854607295085006,0.6919651027673603,0.1277922077922078,0.8934956267411404,standard,False,7.82520325203252,False,True
