name,smiles,CL_measured,Vd_measured,source
(+)dOTC,Nc1ccn([C@@H]2CO[C@H](CO)S2)c(=O)n1,3.9,0.84,lombardo_2018
(-)dOTC,Nc1ccn([C@H]2CO[C@@H](CO)S2)c(=O)n1,3.0,1.18,lombardo_2018
"1,3-DCQA",O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](OC(=O)/C=C/c2ccc(O)c(O)c2)(C(=O)O)C[C@@H](O)[C@H]1O,8.7,0.79,lombardo_2018
"1,8-Naphthyridine-3-carboxylic acid, 7-(1alpha,5alpha,6alpha)-6-amino-3-azabicyclo3.1.0hex-3-yl-1-(2,4-difluorophenyl)-6-fluoro-1,4-dihydro-4-oxo-",N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12,1.4,1.3,master_original
16-acetyl gitoxin,CC(=O)O[C@H]1C[C@]2(O)[C@H]3CC[C@H]4C[C@H](O[C@H]5C[C@@H](O)[C@@H](O[C@H]6C[C@@H](O)[C@@H](O[C@H]7C[C@@H](O)[C@@H](O)[C@H](C)O7)[C@H](C)O6)[C@H](C)O5)CC[C@@]4(C)[C@H]3CC[C@]2(C)[C@H]1C1=CC(=O)OC1,0.18,0.78,lombardo_2018
"1H-Pyrrole-1-carboxamide, 3-ethyl-2,5-dihydro-4-methyl-N-2-4-(trans-4-methylcyclohexyl)aminocarbonylaminosulfonylphenylethyl-2-oxo-",CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O,0.5,0.19,master_original
2-Hydroxyimipramine,CN(C)CCCN1c2ccccc2CCc2cc(O)ccc21,9.2,6.6,master_original
"3,4-DCQA",O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1[C@H](O)C[C@@](O)(C(=O)O)C[C@H]1OC(=O)/C=C/c1ccc(O)c(O)c1,34.58,0.63,lombardo_2018
"3-(4-(4-Chlorophenyl)cyclohexyl)-4-hydroxynaphthalene-1,2-dione",O=C1C(O)=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,0.15,0.6,master_original
3-O-demethylfortimicin A,C[C@@H](N)[C@H]1CC[C@@H](N)[C@@H](O[C@@H]2[C@@H](N)[C@@H](O)[C@@H](O)[C@@H](N(C)C(=O)CN)[C@H]2O)O1,1.37,0.27,lombardo_2018
4-(Aminomethyl)cyclohexanecarboxylic acid,NC[C@H]1CC[C@H](C(=O)O)CC1,2.4,0.38,master_original
4-Aminopyridine,Nc1ccncc1,9.3,2.6,master_original
4-Methylpyrazole,Cc1cn[nH]c1,0.73,0.35,master_original
6-Mercaptopurine,S=c1nc[nH]c2nc[nH]c12,15.0,1.0,master_original
7-Hydroxystaurosporine,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N[C@@H]4O,0.000455,0.15,master_original
8-Methoxypsoralen,COc1c2occc2cc2ccc(=O)oc12,12.0,0.61,master_original
9-Aminocamptothecin,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(N)cccc3nc2-1,6.5,2.2,master_original
ACHT 4-10,CSCC[C@H](N)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)O,871.0,0.73,lombardo_2018
AFN-1252,Cc1c(CN(C)C(=O)/C=C/c2cnc3c(c2)CCC(=O)N3)oc2ccccc12,0.9,0.43,lombardo_2018
AMP579,CCNC(=O)[C@H]1C[C@@H](n2ccc3c(N[C@H](CC)Cc4sccc4Cl)ncnc32)[C@H](O)[C@@H]1O,12.0,0.84,lombardo_2018
AR-709,COc1cc(Cc2cnc(N)nc2N)c2cc(Cc3c(C(=O)N(C)C)[nH]c4ccc(Cl)cc34)oc2c1OC,7.49,5.06,lombardo_2018
AZD4877,Cc1ccc(C(=O)N(CCCN)C(c2nc3snc(C)c3c(=O)n2Cc2ccccc2)C(C)C)cc1,5.83,6.74,lombardo_2018
Abacavir,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,13.0,0.84,master_original
Abanoquil,COc1cc2c(cc1OC)CN(c1cc(N)c3cc(OC)c(OC)cc3n1)CC2,14.0,6.3,master_original
Abexinostat,CN(C)Cc1c(C(=O)NCCOc2ccc(C(=O)NO)cc2)oc2ccccc12,16.33,2.6,lombardo_2018
Acamprosate,CC(=O)NCCCS(=O)(=O)O,3.75,0.3,lombardo_2018
Acarbose,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@@H]([C@H](O)[C@@H](O)C=O)[C@H](O)CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,2.2,0.32,lombardo_2018
Acebutolol,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,9.325,1.533333333,master_original
Acecainide,CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1,4.0,1.9,master_original
Acenocoumarol,CC(=O)C[C@H](c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,1.28,0.24,lombardo_2018
Acetaminophen,CC(=O)Nc1ccc(O)cc1,5.0,1.0,master_original
Acetazolamide,CC(=O)Nc1nnc(S(N)(=O)=O)s1,0.65,0.37,master_original
Acetylcysteine,CC(=O)N[C@@H](CS)C(=O)O,3.1,0.55,master_original
Acetylsalicylic Acid,CC(=O)Oc1ccccc1C(=O)O,12.0,0.22,master_original
Acivicin,N[C@H](C(=O)O)[C@@H]1CC(Cl)=NO1,0.69,0.5,master_original
Aclidinium bromide,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1,48.5,4.3,lombardo_2018
Adefovir,Nc1ncnc2c1ncn2CCOCP(=O)(O)O,3.7,0.42,master_original
Adinazolam,CN(C)Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,5.55,0.98,master_original
Ajmaline,CC[C@H]1C2C[C@H]3[C@@H]4N(C)c5ccccc5C45C[C@@H](C2[C@H]5O)N3[C@@H]1O,9.8,4.0,lombardo_2018
Alcuronium,C=CC[N@@+]12CC[C@@]34c5ccccc5N5C=C6[C@H]7C[C@H]8[C@@]9(CC[N@@+]8(CC=C)C/C7=C/CO)c7ccccc7N(C=C([C@@H](C[C@@H]31)/C(=C\CO)C2)[C@H]54)[C@@H]69,1.3,0.32,lombardo_2018
Alectinib,CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,7.69,6.35,lombardo_2018
Alendronic Acid,NCCCC(O)(P(=O)(O)O)P(=O)(O)O,2.6,0.33,master_original
Alfentanil,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,3.9,0.45,master_original
Alfuzosin Hydrochloride,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC,5.9000001,3.2,master_original
Alinidine,C=CCN(C1=NCCN1)c1c(Cl)cccc1Cl,12.0,2.72,lombardo_2018
Alizapride,C=CCN1CCCC1CNC(=O)c1cc2nn[nH]c2cc1OC,4.833333333,1.6,master_original
Allopurinol,O=c1nc[nH]c2[nH]ncc12,11.0,0.58,master_original
Almitrine,C=CCNc1nc(NCC=C)nc(N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1,0.97,35.37,lombardo_2018
Almokalant,CCC[S@+]([O-])CCCN(CC)C[C@@H](O)COc1ccc(C#N)cc1,11.3,1.8,lombardo_2018
Almorexant,CNC(=O)C(c1ccccc1)N1CCc2cc(OC)c(OC)cc2[C@@H]1CCc1ccc(C(F)(F)F)cc1,10.2,9.75,lombardo_2018
Almotriptan,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,8.9,2.2,master_original
Alpiropride,C=CCN1CCC[C@H]1CNC(=O)c1cc(S(=O)(=O)NC)c(N)cc1OC,5.47,2.3,lombardo_2018
Alprenolol,C=CCc1ccccc1OCC(O)CNC(C)C,14.85,3.2,master_original
Alprostadil,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,45.4,2.4,lombardo_2018
Alvimopan,C[C@H]1CN(C[C@H](Cc2ccccc2)C(=O)NCC(=O)O)CC[C@@]1(C)c1cccc(O)c1,5.84,0.43,lombardo_2018
Alvocidib,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,6.1,1.5,master_original
Amantadine,NC12CC3CC(CC(C3)C1)C2,4.8,6.6,master_original
Amdinocillin,CC1(C)S[C@@H]2[C@H](/N=C/N3CCCCCC3)C(=O)N2[C@H]1C(=O)O,6.3,0.37,master_original
Amifloxacin,CNn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,4.56,1.6,master_original
Amifostine,NCCCNCCSP(=O)(O)O,30.65,0.09,master_original
Amikacin,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,1.1,0.16,master_original
Aminocaproic Acid,NCCCCCC(=O)O,2.5,0.39,master_original
Aminolevulinic acid,NCC(=O)CCC(=O)O,1.88,0.12,lombardo_2018
Amiodarone,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,1.9,60.0,master_original
Amiprilose,CN(C)CCCO[C@@H]1[C@H]2OC(C)(C)O[C@H]2O[C@@H]1[C@H](O)CO,3.48,1.04,lombardo_2018
Amisulpride,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,6.333333333,5.8,master_original
Amitriptyline,CN(C)CCC=C1c2ccccc2CCc2ccccc21,6.1,8.7,master_original
Amlodipine,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,7.0,17.0,master_original
Amodiaquine,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,217.0,17.4,lombardo_2018
